USDT-BTC,time,USDT-ETH
4232.0,2017-10-04 20:59:00+00:00,292.65999979
4220.00000001,2017-10-04 21:00:00+00:00,292.65999999
4232.39,2017-10-04 21:13:00+00:00,292.62999999
4232.39,2017-10-04 21:15:00+00:00,292.62999999
4227.1,2017-10-04 21:16:00+00:00,292.63
4226.39000002,2017-10-04 21:21:00+00:00,292.62999849
4229.999,2017-10-04 21:22:00+00:00,292.62999796
4229.88,2017-10-04 21:23:00+00:00,292.62999978
4215.0,2017-10-04 21:26:00+00:00,292.62999975
4228.274999,2017-10-04 21:27:00+00:00,292.62999975
4209.5,2017-10-04 21:30:00+00:00,292.65999975
4207.009,2017-10-04 21:31:00+00:00,292.65999975
4207.005,2017-10-04 21:32:00+00:00,292.6699
4235.0,2017-10-04 21:35:00+00:00,292.669998
4219.0,2017-10-04 21:50:00+00:00,291.21111111
4219.0,2017-10-04 21:52:00+00:00,291.21111111
4209.0,2017-10-04 22:00:00+00:00,292.59
4206.7,2017-10-04 22:03:00+00:00,292.58
4218.0,2017-10-04 22:05:00+00:00,292.58
4219.0,2017-10-04 22:06:00+00:00,292.58
4218.0,2017-10-04 22:09:00+00:00,291.5001
4207.001,2017-10-04 22:10:00+00:00,291.41111111
4207.001,2017-10-04 22:11:00+00:00,290.44000001
4211.0,2017-10-04 22:13:00+00:00,291.411
4211.0,2017-10-04 22:14:00+00:00,290.44
4218.0,2017-10-04 22:15:00+00:00,291.411
4198.0,2017-10-04 22:16:00+00:00,291.411
4218.0,2017-10-04 22:17:00+00:00,291.5
4218.0,2017-10-04 22:18:00+00:00,291.5
4210.0,2017-10-04 22:30:00+00:00,291.5
4214.77,2017-10-04 22:32:00+00:00,291.5
4201.0,2017-10-04 22:34:00+00:00,290.71111111
4210.0,2017-10-04 22:35:00+00:00,291.5
4195.600001,2017-10-04 22:39:00+00:00,291.5
4200.0,2017-10-04 22:40:00+00:00,291.5
4194.04194012,2017-10-04 22:41:00+00:00,291.5
4195.0,2017-10-04 22:42:00+00:00,291.5
4195.0,2017-10-04 22:44:00+00:00,291.5
4215.0,2017-10-04 22:46:00+00:00,291.5
4225.0,2017-10-04 22:47:00+00:00,291.5
4219.77000002,2017-10-04 22:48:00+00:00,291.99
4215.06,2017-10-04 22:50:00+00:00,292.56
4215.06,2017-10-04 22:52:00+00:00,292.56
4215.06,2017-10-04 22:53:00+00:00,292.56
4220.0,2017-10-04 22:54:00+00:00,292.57
4215.03,2017-10-04 22:55:00+00:00,292.58
4215.0,2017-10-04 22:56:00+00:00,292.58
4224.0,2017-10-04 22:58:00+00:00,292.57
4222.0,2017-10-04 22:59:00+00:00,292.59
4224.77,2017-10-04 23:01:00+00:00,292.0
4222.99999,2017-10-04 23:06:00+00:00,292.0
4210.00000001,2017-10-04 23:07:00+00:00,292.0
4222.7599899,2017-10-04 23:09:00+00:00,292.0
4222.75999,2017-10-04 23:10:00+00:00,292.0
4223.0,2017-10-04 23:11:00+00:00,292.0
4221.977,2017-10-04 23:16:00+00:00,292.3
4222.99999999,2017-10-04 23:18:00+00:00,292.3
4225.0,2017-10-04 23:21:00+00:00,292.3
4223.0,2017-10-04 23:22:00+00:00,290.41100006
4225.0,2017-10-04 23:23:00+00:00,292.3
4225.0,2017-10-04 23:24:00+00:00,292.3
4225.0,2017-10-04 23:25:00+00:00,292.3
4223.0,2017-10-04 23:27:00+00:00,292.3
4223.0,2017-10-04 23:29:00+00:00,292.3
4222.0,2017-10-04 23:30:00+00:00,292.3
4222.0,2017-10-04 23:31:00+00:00,292.3
4221.0,2017-10-04 23:33:00+00:00,292.30000001
4216.0,2017-10-04 23:34:00+00:00,293.48999999
4220.0,2017-10-04 23:35:00+00:00,292.30000001
4217.0,2017-10-04 23:37:00+00:00,292.3001
4215.00000001,2017-10-04 23:39:00+00:00,292.3001
4224.99,2017-10-04 23:42:00+00:00,293.45
4230.0,2017-10-04 23:43:00+00:00,293.46
4230.00000001,2017-10-04 23:44:00+00:00,293.46
4230.0,2017-10-04 23:45:00+00:00,293.46
4220.00000011,2017-10-04 23:46:00+00:00,293.46
4222.0,2017-10-04 23:47:00+00:00,293.46
4222.0,2017-10-04 23:48:00+00:00,293.46
4230.1,2017-10-04 23:50:00+00:00,292.31
4230.0,2017-10-04 23:51:00+00:00,293.4629346
4230.10000001,2017-10-04 23:52:00+00:00,293.4629346
4232.0,2017-10-04 23:53:00+00:00,292.3002
4225.00000001,2017-10-04 23:54:00+00:00,292.303123
4225.00000001,2017-10-04 23:55:00+00:00,292.30020001
4233.0,2017-10-04 23:56:00+00:00,292.30020001
4233.0,2017-10-04 23:57:00+00:00,293.5
4233.0,2017-10-04 23:58:00+00:00,292.31
4232.0,2017-10-04 23:59:00+00:00,293.49
4231.0,2017-10-05 00:02:00+00:00,293.49
4232.0,2017-10-05 00:03:00+00:00,293.49
4211.93500061,2017-10-05 00:05:00+00:00,293.49
4218.0,2017-10-05 00:09:00+00:00,293.49
4219.0,2017-10-05 00:10:00+00:00,293.49
4219.0,2017-10-05 00:11:00+00:00,293.49
4211.93500012,2017-10-05 00:13:00+00:00,293.49
4222.0,2017-10-05 00:15:00+00:00,293.5
4220.0,2017-10-05 00:18:00+00:00,293.5
4212.92,2017-10-05 00:20:00+00:00,293.0
4230.0,2017-10-05 00:22:00+00:00,293.84
4233.0,2017-10-05 00:23:00+00:00,293.91999999
4216.03,2017-10-05 00:24:00+00:00,293.92
4216.03,2017-10-05 00:25:00+00:00,293.92
4229.73,2017-10-05 00:27:00+00:00,293.8
4216.03000001,2017-10-05 00:28:00+00:00,293.91
4216.03000001,2017-10-05 00:29:00+00:00,293.8
4227.692,2017-10-05 00:30:00+00:00,293.8
4234.65632192,2017-10-05 00:32:00+00:00,292.36
4230.04632192,2017-10-05 00:34:00+00:00,292.36
4227.0,2017-10-05 00:35:00+00:00,292.36
4230.03,2017-10-05 00:37:00+00:00,293.8
4230.65632192,2017-10-05 00:38:00+00:00,293.8
4230.65632192,2017-10-05 00:39:00+00:00,293.9
4230.0,2017-10-05 00:40:00+00:00,293.9
4234.5,2017-10-05 00:41:00+00:00,293.8
4230.5,2017-10-05 00:45:00+00:00,293.3
4234.5,2017-10-05 00:48:00+00:00,293.8
4234.5,2017-10-05 00:49:00+00:00,293.8
4235.0,2017-10-05 00:50:00+00:00,293.88
4225.00000001,2017-10-05 00:51:00+00:00,293.88
4225.00000001,2017-10-05 00:53:00+00:00,293.88
4230.0,2017-10-05 00:54:00+00:00,293.88
4228.0,2017-10-05 00:57:00+00:00,293.88
4225.01,2017-10-05 00:58:00+00:00,293.88
4229.39,2017-10-05 01:04:00+00:00,293.8
4229.39000001,2017-10-05 01:05:00+00:00,293.8
4234.99,2017-10-05 01:06:00+00:00,293.0
4234.98000001,2017-10-05 01:07:00+00:00,293.8
4232.0,2017-10-05 01:10:00+00:00,293.00000001
4232.0,2017-10-05 01:11:00+00:00,293.00000001
4224.0,2017-10-05 01:13:00+00:00,293.8
4216.03,2017-10-05 01:14:00+00:00,293.00000001
4216.52161,2017-10-05 01:15:00+00:00,293.00000001
4220.0,2017-10-05 01:16:00+00:00,293.00000001
4216.52161,2017-10-05 01:17:00+00:00,293.00000001
4234.99,2017-10-05 01:18:00+00:00,293.00000001
4234.99,2017-10-05 01:19:00+00:00,293.79999987
4217.0,2017-10-05 01:21:00+00:00,293.2
4215.0,2017-10-05 01:22:00+00:00,292.4329233
4214.0,2017-10-05 01:23:00+00:00,292.4329233
4190.00000006,2017-10-05 01:24:00+00:00,292.33584662
